date,mean,type,volatility
2024-04-01,1506158.0,historical,
2024-04-01,1520510.0,historical,
2024-05-01,1498196.0,historical,
2024-05-01,1510530.0,historical,
2024-06-01,1476442.0,historical,
2024-06-01,1489376.0,historical,
2024-07-01,1496503.0,historical,
2024-07-01,1499826.0,historical,
2024-08-01,1471711.0,historical,
2024-08-01,1486427.0,historical,
2024-09-01,1459592.0,historical,
2024-09-01,1479058.0,historical,
2024-10-01,1460282.0,historical,
2024-10-01,1475014.0,historical,
2024-11-01,1455521.0,historical,
2024-11-01,1467749.0,historical,
2024-12-01,1453344.0,historical,
2024-12-01,1469251.0,historical,
2025-01-01,1440358.0,historical,
2025-01-01,1458215.0,historical,
2025-02-01,1445420.0,historical,
2025-02-01,1449743.0,historical,
2025-03-01,1437878.0,historical,
2027-01-01,1546821.407524142,forecast,107811.98981258072
2028-01-01,1546821.407524142,forecast,107966.33288383653
2029-01-01,1546821.407524142,forecast,108116.29985156264
2030-01-01,1546821.407524142,forecast,108262.02088715218
2031-01-01,1546821.407524142,forecast,108403.62193506521
2032-01-01,1546821.407524142,forecast,108541.22487108778
2033-01-01,1546821.407524142,forecast,108674.94765341473
2034-01-01,1546821.407524142,forecast,108804.9044669563
2035-01-01,1546821.407524142,forecast,108931.20586124116
2036-01-01,1546821.407524142,forecast,109053.95888226414
