year,forecast
2025,26281967040.089108
2026,26286635404.236546
2027,26286879694.52001
2028,26286892477.957787
2029,26286893146.900814
2030,26286893181.905857
2031,26286893183.737633
2032,26286893183.83349
2033,26286893183.838505
2034,26286893183.838768
