year,forecast
2025,1437962.025170293
2025,1437961.4301235806
2025,1437961.434337563
2025,1437961.4343077207
2025,1437961.4343079322
2025,1437961.4343079308
2025,1437961.4343079308
2025,1437961.4343079308
2025,1437961.4343079308
2026,1437961.4343079308
2026,1437961.4343079308
2026,1437961.4343079308
2026,1437961.4343079308
2026,1437961.4343079308
2026,1437961.4343079308
2026,1437961.4343079308
2026,1437961.4343079308
2026,1437961.4343079308
2026,1437961.4343079308
2026,1437961.4343079308
2026,1437961.4343079308
2027,1437961.4343079308
2027,1437961.4343079308
2027,1437961.4343079308
2027,1437961.4343079308
2027,1437961.4343079308
2027,1437961.4343079308
2027,1437961.4343079308
2027,1437961.4343079308
2027,1437961.4343079308
2027,1437961.4343079308
2027,1437961.4343079308
2027,1437961.4343079308
2028,1437961.4343079308
2028,1437961.4343079308
2028,1437961.4343079308
2028,1437961.4343079308
2028,1437961.4343079308
2028,1437961.4343079308
2028,1437961.4343079308
2028,1437961.4343079308
2028,1437961.4343079308
2028,1437961.4343079308
2028,1437961.4343079308
2028,1437961.4343079308
2029,1437961.4343079308
2029,1437961.4343079308
2029,1437961.4343079308
2029,1437961.4343079308
2029,1437961.4343079308
2029,1437961.4343079308
2029,1437961.4343079308
2029,1437961.4343079308
2029,1437961.4343079308
2029,1437961.4343079308
2029,1437961.4343079308
2029,1437961.4343079308
2030,1437961.4343079308
2030,1437961.4343079308
2030,1437961.4343079308
2030,1437961.4343079308
2030,1437961.4343079308
2030,1437961.4343079308
2030,1437961.4343079308
2030,1437961.4343079308
2030,1437961.4343079308
2030,1437961.4343079308
2030,1437961.4343079308
2030,1437961.4343079308
2031,1437961.4343079308
2031,1437961.4343079308
2031,1437961.4343079308
2031,1437961.4343079308
2031,1437961.4343079308
2031,1437961.4343079308
2031,1437961.4343079308
2031,1437961.4343079308
2031,1437961.4343079308
2031,1437961.4343079308
2031,1437961.4343079308
2031,1437961.4343079308
2032,1437961.4343079308
2032,1437961.4343079308
2032,1437961.4343079308
2032,1437961.4343079308
2032,1437961.4343079308
2032,1437961.4343079308
2032,1437961.4343079308
2032,1437961.4343079308
2032,1437961.4343079308
2032,1437961.4343079308
2032,1437961.4343079308
2032,1437961.4343079308
2033,1437961.4343079308
2033,1437961.4343079308
2033,1437961.4343079308
2033,1437961.4343079308
2033,1437961.4343079308
2033,1437961.4343079308
2033,1437961.4343079308
2033,1437961.4343079308
2033,1437961.4343079308
2033,1437961.4343079308
2033,1437961.4343079308
2033,1437961.4343079308
2034,1437961.4343079308
2034,1437961.4343079308
2034,1437961.4343079308
2034,1437961.4343079308
2034,1437961.4343079308
2034,1437961.4343079308
2034,1437961.4343079308
2034,1437961.4343079308
2034,1437961.4343079308
2034,1437961.4343079308
2034,1437961.4343079308
2034,1437961.4343079308
2035,1437961.4343079308
2035,1437961.4343079308
2035,1437961.4343079308
